name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license,created_year
tensorflow,tensorflow,C++,197066,76069,197066,3070,2015-11-07 01:19:20+00:00,2026-08-19 17:47:08+00:00,Apache License 2.0,2015
transformers,huggingface,Python,164264,34289,164264,2383,2018-10-29 13:56:00+00:00,2026-08-19 17:38:03+00:00,Apache License 2.0,2018
ML-For-Beginners,microsoft,Jupyter Notebook,89536,21979,89536,13,2021-03-03 01:34:05+00:00,2026-08-19 17:36:12+00:00,MIT License,2021
funNLP,fighting41love,Python,82547,15266,82547,52,2018-08-21 11:20:39+00:00,2026-08-19 15:32:46+00:00,No License,2018
awesome-machine-learning,josephmisiti,Python,74075,15614,74075,26,2014-07-15 19:11:19+00:00,2026-08-19 17:50:14+00:00,Other,2014
scikit-learn,scikit-learn,Python,66971,27293,66971,2127,2010-08-17 09:43:38+00:00,2026-08-19 15:05:23+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2010
gradio,gradio-app,Python,43388,3576,43388,175,2018-12-19 08:24:04+00:00,2026-08-19 18:17:15+00:00,Apache License 2.0,2018
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36384,7444,36384,68,2021-01-02 12:08:37+00:00,2026-08-19 18:17:03+00:00,No License,2021
C-Plus-Plus,TheAlgorithms,C++,34588,7851,34588,29,2016-07-16 10:19:45+00:00,2026-08-19 17:52:43+00:00,MIT License,2016
netron,lutzroeder,JavaScript,33368,3173,33368,16,2010-12-26 12:53:43+00:00,2026-08-19 16:19:11+00:00,MIT License,2010
ML-From-Scratch,eriklindernoren,Python,32494,5430,32494,77,2017-02-05 12:11:23+00:00,2026-08-19 17:24:31+00:00,MIT License,2017
applied-ml,eugeneyan,Unknown,30069,3992,30069,8,2020-07-04 18:57:47+00:00,2026-08-19 14:48:23+00:00,MIT License,2020
machine-learning-for-software-engineers,ZuzooVn,Unknown,28864,6148,28864,32,2016-10-09 21:20:25+00:00,2026-08-19 15:05:29+00:00,Creative Commons Attribution Share Alike 4.0 International,2016
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28805,12906,28805,21,2019-07-13 19:52:56+00:00,2026-08-19 17:20:45+00:00,GNU Affero General Public License v3.0,2019
cs249r_book,harvard-edge,Python,27959,3532,27959,46,2023-09-06 19:31:06+00:00,2026-08-19 15:30:44+00:00,Other,2023
shap,shap,Jupyter Notebook,25693,3740,25693,1010,2016-11-22 19:17:08+00:00,2026-08-19 18:08:29+00:00,MIT License,2016
homemade-machine-learning,trekhleb,Jupyter Notebook,24769,4193,24769,30,2018-11-01 04:34:19+00:00,2026-08-19 18:08:49+00:00,MIT License,2018
Paddle,PaddlePaddle,C++,24058,6013,24058,1511,2016-08-15 06:59:08+00:00,2026-08-19 12:40:41+00:00,Apache License 2.0,2016
best-of-ml-python,lukasmasuch,Unknown,23721,3143,23721,54,2020-11-29 19:41:36+00:00,2026-08-19 15:24:21+00:00,Creative Commons Attribution Share Alike 4.0 International,2020
C,TheAlgorithms,C,22330,4768,22330,18,2016-07-16 10:17:03+00:00,2026-08-19 15:44:00+00:00,GNU General Public License v3.0,2016
onnx,onnx,Python,21330,4003,21330,296,2017-09-07 04:53:45+00:00,2026-08-19 14:23:51+00:00,Apache License 2.0,2017
rasa,RasaHQ,Python,21296,4919,21296,153,2016-10-14 12:27:49+00:00,2026-08-19 09:48:38+00:00,Apache License 2.0,2016
video2x,k4yt3x,C++,20982,1820,20982,130,2018-02-24 16:34:41+00:00,2026-08-19 18:13:53+00:00,GNU Affero General Public License v3.0,2018
awesome-production-machine-learning,EthicalML,Unknown,20851,2590,20851,31,2018-08-15 14:28:41+00:00,2026-08-19 15:28:16+00:00,MIT License,2018
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20517,5530,20517,7,2018-05-09 12:33:08+00:00,2026-08-19 16:32:31+00:00,MIT License,2018
stanford-cs-229-machine-learning,afshinea,Unknown,20130,4249,20130,20,2018-08-04 23:01:00+00:00,2026-08-19 14:41:58+00:00,MIT License,2018
ml-agents,Unity-Technologies,C#,19636,4485,19636,20,2017-09-08 21:09:04+00:00,2026-08-19 16:44:49+00:00,Other,2017
LightGBM,lightgbm-org,C++,18701,4055,18701,512,2016-08-05 05:45:50+00:00,2026-08-19 14:47:52+00:00,MIT License,2016
ml-engineering,stas00,Python,18655,1202,18655,3,2020-09-02 19:23:01+00:00,2026-08-19 17:37:35+00:00,Creative Commons Attribution Share Alike 4.0 International,2020
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18110,3969,18110,47,2015-09-12 14:51:38+00:00,2026-08-19 16:35:23+00:00,Creative Commons Zero v1.0 Universal,2015
ML-NLP,NLP-LOVE,Jupyter Notebook,17793,4627,17793,36,2019-07-05 12:49:53+00:00,2026-08-19 01:55:15+00:00,No License,2019
brpc,apache,C++,17586,4134,17586,460,2017-09-04 09:28:47+00:00,2026-08-19 15:14:55+00:00,Apache License 2.0,2017
ML-YouTube-Courses,dair-ai,Unknown,17370,2120,17370,21,2021-06-25 09:39:16+00:00,2026-08-19 17:41:55+00:00,Creative Commons Zero v1.0 Universal,2021
numpy-ml,ddbourgin,Python,16334,3744,16334,47,2019-04-06 22:29:49+00:00,2026-08-19 13:01:52+00:00,GNU General Public License v3.0,2019
transformers.js,huggingface,JavaScript,16260,1180,16260,277,2023-02-13 13:51:45+00:00,2026-08-19 00:23:16+00:00,Apache License 2.0,2023
mml-book.github.io,mml-book,Jupyter Notebook,15889,2843,15889,197,2017-12-08 10:52:21+00:00,2026-08-19 15:48:38+00:00,No License,2017
kubeflow,kubeflow,Unknown,15823,2690,15823,0,2017-11-30 18:44:19+00:00,2026-08-19 17:00:17+00:00,Apache License 2.0,2017
cheatsheets-ai,kailashahirwar,Unknown,15428,3372,15428,12,2017-05-24 12:06:56+00:00,2026-08-19 13:50:33+00:00,MIT License,2017
ggml,ggml-org,C++,15200,1783,15200,347,2022-09-18 17:07:19+00:00,2026-08-19 15:33:50+00:00,MIT License,2022
Qix,ty4z2008,Unknown,15186,4575,15186,0,2014-04-20 11:03:15+00:00,2026-08-19 11:20:11+00:00,Other,2014
imgaug,aleju,Python,14739,2450,14739,311,2015-07-10 20:31:33+00:00,2026-08-14 13:12:26+00:00,MIT License,2015
bullet3,bulletphysics,C++,14684,3088,14684,423,2011-04-12 18:45:08+00:00,2026-08-19 17:57:45+00:00,Other,2011
ChatterBot,gunthercox,Python,14509,4419,14509,72,2014-09-28 14:49:00+00:00,2026-08-19 10:19:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2014
dlib,davisking,C++,14432,3442,14432,38,2014-01-29 00:45:33+00:00,2026-08-18 08:10:22+00:00,Boost Software License 1.0,2014
nni,microsoft,Python,14364,1852,14364,415,2018-06-01 05:51:44+00:00,2026-08-19 11:48:19+00:00,MIT License,2018
mit-deep-learning-book-pdf,janishar,Java,14199,2909,14199,12,2017-04-07 10:46:50+00:00,2026-08-19 11:15:24+00:00,No License,2017
ivy,unifyai,Python,14169,5465,14169,985,2021-01-19 08:37:25+00:00,2026-08-19 08:48:30+00:00,Other,2021
handson-ml3,ageron,Jupyter Notebook,13957,5252,13957,107,2022-02-19 09:43:22+00:00,2026-08-19 11:32:55+00:00,Apache License 2.0,2022
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13947,3095,13947,3,2020-04-17 04:29:23+00:00,2026-08-19 17:35:05+00:00,No License,2020
tvm,apache,Python,13671,3959,13671,236,2016-10-12 22:20:28+00:00,2026-08-19 07:38:15+00:00,Apache License 2.0,2016
Ai-Learn,tangyudi,Unknown,13268,2674,13268,20,2020-01-28 01:55:06+00:00,2026-08-19 08:37:22+00:00,No License,2020
deep-learning-drizzle,kmario23,HTML,12934,2988,12934,5,2018-11-26 01:17:36+00:00,2026-08-19 13:00:38+00:00,No License,2018
machine-learning-interview,khangich,Unknown,12784,2044,12784,9,2020-08-11 06:26:32+00:00,2026-08-19 01:27:46+00:00,No License,2020
python-machine-learning-book,rasbt,Jupyter Notebook,12641,4373,12641,13,2015-08-07 20:39:29+00:00,2026-08-17 16:24:50+00:00,MIT License,2015
predictionio,apache,Scala,12519,1898,12519,80,2013-01-25 19:42:32+00:00,2026-08-19 06:22:39+00:00,Apache License 2.0,2013
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License",2016
cleanlab,cleanlab,Python,11628,915,11628,120,2018-05-11 01:55:21+00:00,2026-08-19 13:15:02+00:00,Apache License 2.0,2018
dive-into-machine-learning,dive-into-machine-learning,Unknown,11392,1866,11392,0,2015-02-22 23:48:16+00:00,2026-08-17 19:11:54+00:00,Creative Commons Attribution 4.0 International,2015
MLAlgorithms,rushter,Python,11166,1768,11166,10,2016-10-05 06:46:45+00:00,2026-08-18 01:12:30+00:00,MIT License,2016
turicreate,apple,C++,11160,1118,11160,522,2017-12-01 00:42:04+00:00,2026-08-18 01:19:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2017
amazon-sagemaker-examples,aws,Jupyter Notebook,10977,6959,10977,849,2017-10-23 05:55:22+00:00,2026-08-18 08:57:11+00:00,Apache License 2.0,2017
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10945,1679,10945,7,2024-05-18 15:42:58+00:00,2026-08-19 02:52:13+00:00,No License,2024
dolly,databrickslabs,Python,10805,1140,10805,5,2023-03-24 16:15:53+00:00,2026-08-16 09:28:29+00:00,Apache License 2.0,2023
doccano,doccano,Python,10745,1823,10745,395,2018-05-09 06:10:05+00:00,2026-08-19 02:15:51+00:00,MIT License,2018
